日時,レース名,グレード,着順,馬名,年齢,騎手,調教師
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,1,トリオンフ,せん6,M.デムーロ,須貝 尚介
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,2,ウインイクシード,牡6,松岡 正海,鈴木 伸尋
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,3,テリトーリアル,牡6,藤岡 康太,西浦 勝一
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,4,ノーブルマーズ,牡7,F.ミナリク,宮本 博
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,5,マイネルハニー,牡7,横山 武史,栗田 徹
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,6,マイネルサーパス,牡4,丹内 祐次,高木 登
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,7,クレッシェンドラヴ,牡6,内田 博幸,林 徹
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,8,ザダル,牡4,O.マーフィー,大竹 正博
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,9,アンノートル,牡6,柴田 大知,田中 博康
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,10,ギベオン,牡5,S.フォーリー,藤原 英昭
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,11,カデナ,牡6,鮫島 克駿,中竹 和也
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,12,シャイニープリンス,牡10,勝浦 正樹,深山 雅史
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,13,メイショウエイコウ,牡6,大野 拓弥,荒川 義之
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,14,レッドローゼス,牡6,田辺 裕信,国枝 栄
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,15,タニノフランケル,牡5,石橋 脩,角居 勝彦
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,16,ブラックスピネル,牡7,津村 明秀,音無 秀孝
2020年1月5日,日刊スポーツ賞中山金杯,GⅢ,17,イレイション,牡8,北村 宏司,池上 昌和
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,1,サウンドキアラ,牝5,松山 弘平,安達 昭夫
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,2,ダイアトニック,牡5,北村 友一,安田 隆行
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,3,ボンセルヴィーソ,牡6,太宰 啓介,池添 学
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,4,ソーグリッタリング,牡6,川田 将雅,池江 泰寿
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,5,ブレステイキング,牡5,藤岡 佑介,堀 宣行
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,6,エメラルファイト,牡4,石川 裕紀人,相沢 郁
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,7,ドーヴァー,牡7,福永 祐一,伊藤 圭三
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,7,エントシャイデン,牡5,坂井 瑠星,矢作 芳人
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,9,オールフォーラヴ,牝5,和田 竜二,中内田 充正
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,10,メイケイダイハード,牡5,柴山 雄一,中竹 和也
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,11,モズダディー,牡5,酒井 学,藤岡 健一
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,12,ストロングタイタン,牡7,幸 英明,池江 泰寿
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,13,タイムトリップ,牡6,岩田 康誠,菊川 正達
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,14,マルターズアポジー,牡8,松若 風馬,堀井 雅広
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,15,マイネルフラップ,牡4,国分 優作,梅田 智之
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,16,メイショウショウブ,牝4,池添 謙一,池添 兼雄
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,17,カテドラル,牡4,武 豊,池添 学
2020年1月5日,スポーツニッポン賞京都金杯,GⅢ,18,ハッピーグリン,牡5,吉田 隼人,長谷川 浩大
2020年1月12日,日刊スポーツ賞シンザン記念,GⅢ,1,サンクテュエール,牝3,C.ルメール,藤沢 和雄
2020年1月12日,日刊スポーツ賞シンザン記念,GⅢ,2,プリンスリターン,牡3,原田 和真,加用 正
2020年1月12日,日刊スポーツ賞シンザン記念,GⅢ,3,コルテジア,牡3,松山 弘平,鈴木 孝志
2020年1月12日,日刊スポーツ賞シンザン記念,GⅢ,4,オーマイダーリン,牝3,武 豊,河内 洋
2020年1月12日,日刊スポーツ賞シンザン記念,GⅢ,5,ヴァルナ,牡3,福永 祐一,寺島 良
2020年1月12日,日刊スポーツ賞シンザン記念,GⅢ,6,タガノビューティー,牡3,和田 竜二,西園 正都
2020年1月12日,日刊スポーツ賞シンザン記念,GⅢ,7,ルーツドール,牝3,川田 将雅,藤岡 健一
2020年1月12日,日刊スポーツ賞シンザン記念,GⅢ,8,ヒシタイザン,牡3,幸 英明,角田 晃一
2020年1月12日,日刊スポーツ賞シンザン記念,GⅢ,9,カバジェーロ,牡3,北村 友一,橋口 慎介
2020年1月12日,日刊スポーツ賞シンザン記念,GⅢ,10,ディモールト,牡3,池添 謙一,角田 晃一
2020年1月13日,フェアリーステークス,GⅢ,1,スマイルカナ,牝3,柴田 大知,高橋 祥泰
2020年1月13日,フェアリーステークス,GⅢ,2,チェーンオブラブ,牝3,石橋 脩,小笠 倫弘
2020年1月13日,フェアリーステークス,GⅢ,3,ポレンティア,牝3,池添 謙一,田中 博康
2020年1月13日,フェアリーステークス,GⅢ,4,シャインガーネット,牝3,O.マーフィー,栗田 徹
2020年1月13日,フェアリーステークス,GⅢ,5,ソーユーフォリア,牝3,武藤 雅,高柳 瑞樹
2020年1月13日,フェアリーステークス,GⅢ,6,アヌラーダプラ,牝3,C.ルメール,萩原 清
2020年1月13日,フェアリーステークス,GⅢ,7,ウインドラブリーナ,牝3,鮫島 良太,飯田 雄三
2020年1月13日,フェアリーステークス,GⅢ,8,フルートフルデイズ,牝3,木幡 巧也,浜田 多実雄
2020年1月13日,フェアリーステークス,GⅢ,9,セイウンヴィーナス,牝3,野中 悠太郎,本間 忍
2020年1月13日,フェアリーステークス,GⅢ,10,メイプルプレゼント,牝3,横山 和生,高市 圭二
2020年1月13日,フェアリーステークス,GⅢ,11,カインドリー,牝3,田辺 裕信,田村 康仁
2020年1月13日,フェアリーステークス,GⅢ,12,ハローキャンディ,牝3,F.ミナリク,久保田 貴士
2020年1月13日,フェアリーステークス,GⅢ,13,ダイワクンナナ,牝3,北村 宏司,国枝 栄
2020年1月13日,フェアリーステークス,GⅢ,14,ペコリーノロマーノ,牝3,吉田 隼人,久保田 貴士
2020年1月13日,フェアリーステークス,GⅢ,15,ウィーンソナタ,牝3,大野 拓弥,伊藤 圭三
2020年1月13日,フェアリーステークス,GⅢ,16,ニシノステラ,牝3,藤田 菜七子,小西 一男
2020年1月18日,農林水産省賞典 愛知杯,GⅢ,1,デンコウアンジュ,牝7,柴田 善臣,荒川 義之
2020年1月18日,農林水産省賞典 愛知杯,GⅢ,2,アルメリアブルーム,牝6,武 豊,高橋 康之
2020年1月18日,農林水産省賞典 愛知杯,GⅢ,3,レイホーロマンス,牝7,酒井 学,橋田 満
2020年1月18日,農林水産省賞典 愛知杯,GⅢ,4,フェアリーポルカ,牝4,和田 竜二,西村 真幸
2020年1月18日,農林水産省賞典 愛知杯,GⅢ,5,センテリュオ,牝5,C.ルメール,高野 友和
2020年1月18日,農林水産省賞典 愛知杯,GⅢ,6,ウインシャトレーヌ,牝6,横山 武史,大久保 龍志
2020年1月18日,農林水産省賞典 愛知杯,GⅢ,7,パッシングスルー,牝4,池添 謙一,黒岩 陽一
2020年1月18日,農林水産省賞典 愛知杯,GⅢ,8,リリックドラマ,牝6,菱田 裕二,岡田 稲男
2020年1月18日,農林水産省賞典 愛知杯,GⅢ,9,サラキア,牝5,川田 将雅,池添 学
2020年1月18日,農林水産省賞典 愛知杯,GⅢ,10,サヴォワールエメ,牝4,荻野 琢真,友道 康夫
2020年1月18日,農林水産省賞典 愛知杯,GⅢ,11,アロハリリー,牝5,北村 友一,高野 友和
2020年1月18日,農林水産省賞典 愛知杯,GⅢ,12,ポンデザール,牝5,藤岡 康太,堀 宣行
2020年1月18日,農林水産省賞典 愛知杯,GⅢ,13,カレンシリエージョ,牝5,藤田 菜七子,鈴木 孝志
2020年1月18日,農林水産省賞典 愛知杯,GⅢ,14,モルフェオルフェ,牝5,丹内 祐次,大江原 哲
2020年1月18日,農林水産省賞典 愛知杯,GⅢ,15,レッドランディーニ,牝5,西村 淳也,石坂 正
2020年1月18日,農林水産省賞典 愛知杯,GⅢ,16,ランドネ,牝5,吉田 隼人,角居 勝彦
2020年1月19日,京成杯,GⅢ,1,クリスタルブラック,牡3,吉田 豊,高橋 文雅
2020年1月19日,京成杯,GⅢ,2,スカイグルーヴ,牝3,C.ルメール,木村 哲也
2020年1月19日,京成杯,GⅢ,3,ディアスティマ,牡3,A.シュタルケ,高野 友和
2020年1月19日,京成杯,GⅢ,4,ビターエンダー,牡3,津村 明秀,相沢 郁
2020年1月19日,京成杯,GⅢ,5,キングオブドラゴン,牡3,田辺 裕信,矢作 芳人
2020年1月19日,京成杯,GⅢ,6,リメンバーメモリー,牡3,大野 拓弥,佐々木 晶三
2020年1月19日,京成杯,GⅢ,7,ロールオブサンダー,牡3,松山 弘平,橋口 慎介
2020年1月19日,京成杯,GⅢ,8,ヴィアメント,牡3,M.デムーロ,鹿戸 雄一
2020年1月19日,京成杯,GⅢ,9,ゼノヴァース,牡3,O.マーフィー,藤沢 和雄
2020年1月19日,京成杯,GⅢ,10,ヒュッゲ,牡3,和田 竜二,友道 康夫
2020年1月19日,京成杯,GⅢ,11,キムケンドリーム,牝3,石橋 脩,西村 真幸
2020年1月19日,京成杯,GⅢ,12,チュウワジョーダン,牡3,丸山 元気,林 徹
2020年1月19日,日経新春杯,GⅡ,1,モズベッロ,牡4,池添 謙一,森田 直行
2020年1月19日,日経新春杯,GⅡ,2,レッドレオン,牡5,北村 友一,角居 勝彦
2020年1月19日,日経新春杯,GⅡ,3,エーティーラッセン,牡6,藤懸 貴志,木原 一良
2020年1月19日,日経新春杯,GⅡ,4,タイセイトレイル,牡5,川田 将雅,矢作 芳人
2020年1月19日,日経新春杯,GⅡ,5,プリンスオブペスカ,牡6,藤井 勘一郎,松永 昌博
2020年1月19日,日経新春杯,GⅡ,6,サトノガーネット,牝5,坂井 瑠星,矢作 芳人
2020年1月19日,日経新春杯,GⅡ,7,レッドジェニアル,牡4,武 豊,高橋 義忠
2020年1月19日,日経新春杯,GⅡ,8,マスターコード,牡6,幸 英明,吉村 圭司
2020年1月19日,日経新春杯,GⅡ,9,メロディーレーン,牝4,岩田 望来,森田 直行
2020年1月19日,日経新春杯,GⅡ,10,ロードヴァンドール,牡7,太宰 啓介,昆 貢
2020年1月19日,日経新春杯,GⅡ,11,アフリカンゴールド,せん5,福永 祐一,西園 正都
2020年1月19日,日経新春杯,GⅡ,12,チェスナットコート,牡6,藤岡 康太,矢作 芳人
2020年1月19日,日経新春杯,GⅡ,13,スズカディープ,せん8,岩崎 翼,橋田 満
2020年1月19日,日経新春杯,GⅡ,14,サイモンラムセス,牡10,小牧 太,梅田 智之
2020年1月26日,アメリカジョッキークラブカップ,GⅡ,1,ブラストワンピース,牡5,川田 将雅,大竹 正博
2020年1月26日,アメリカジョッキークラブカップ,GⅡ,2,ステイフーリッシュ,牡5,C.ルメール,矢作 芳人
2020年1月26日,アメリカジョッキークラブカップ,GⅡ,3,ラストドラフト,牡4,O.マーフィー,戸田 博文
2020年1月26日,アメリカジョッキークラブカップ,GⅡ,4,ミッキースワロー,牡6,横山 典弘,菊沢 隆徳
2020年1月26日,アメリカジョッキークラブカップ,GⅡ,5,サトノクロニクル,牡6,大野 拓弥,池江 泰寿
2020年1月26日,アメリカジョッキークラブカップ,GⅡ,6,ニシノデイジー,牡4,田辺 裕信,高木 登
2020年1月26日,アメリカジョッキークラブカップ,GⅡ,7,ウラヌスチャーム,牝5,F.ミナリク,斎藤 誠
2020年1月26日,アメリカジョッキークラブカップ,GⅡ,8,スティッフェリオ,牡6,丸山 元気,音無 秀孝
2020年1月26日,アメリカジョッキークラブカップ,GⅡ,9,ルミナスウォリアー,牡9,柴山 雄一,和田 正一郎
2020年1月26日,アメリカジョッキークラブカップ,GⅡ,10,クロスケ,牡5,北村 宏司,水野 貴広
2020年1月26日,アメリカジョッキークラブカップ,GⅡ,11,グローブシアター,牡6,石橋 脩,角居 勝彦
2020年1月26日,アメリカジョッキークラブカップ,GⅡ,中止,マイネルフロスト,牡9,松岡 正海,高木 登
2020年1月26日,東海テレビ杯東海ステークス,GⅡ,1,エアアルマス,牡5,松山 弘平,池添 学
2020年1月26日,東海テレビ杯東海ステークス,GⅡ,2,ヴェンジェンス,牡7,幸 英明,大根田 裕之
2020年1月26日,東海テレビ杯東海ステークス,GⅡ,3,インティ,牡6,武 豊,野中 賢二
2020年1月26日,東海テレビ杯東海ステークス,GⅡ,4,アングライフェン,牡8,M.デムーロ,安田 隆行
2020年1月26日,東海テレビ杯東海ステークス,GⅡ,5,キングズガード,牡9,秋山 真一郎,寺島 良
2020年1月26日,東海テレビ杯東海ステークス,GⅡ,6,ヒストリーメイカー,牡6,畑端 省吾,作田 誠二
2020年1月26日,東海テレビ杯東海ステークス,GⅡ,7,ヒロブレイブ,牡7,国分 恭介,川村 禎彦
2020年1月26日,東海テレビ杯東海ステークス,GⅡ,8,モズアトラクション,牡6,藤岡 康太,松下 武士
2020年1月26日,東海テレビ杯東海ステークス,GⅡ,9,コスモカナディアン,牡7,A.シュタルケ,金成 貴史
2020年1月26日,東海テレビ杯東海ステークス,GⅡ,10,コマビショウ,牡5,和田 竜二,南井 克巳
2020年1月26日,東海テレビ杯東海ステークス,GⅡ,11,メイショウウタゲ,牡9,城戸 義政,安達 昭夫
2020年1月26日,東海テレビ杯東海ステークス,GⅡ,12,アイファーイチオー,牡6,坂井 瑠星,上村 洋行
2020年1月26日,東海テレビ杯東海ステークス,GⅡ,13,ビルジキール,牡4,池添 謙一,安達 昭夫
2020年1月26日,東海テレビ杯東海ステークス,GⅡ,14,ロードアルペジオ,牡7,岩田 康誠,笹田 和秀
2020年1月26日,東海テレビ杯東海ステークス,GⅡ,15,スマハマ,牡5,藤岡 佑介,高橋 亮
2020年1月26日,東海テレビ杯東海ステークス,GⅡ,16,マイネルクラース,牡6,国分 優作,高木 登
2020年2月2日,根岸ステークス,GⅢ,1,モズアスコット,牡6,C.ルメール,矢作 芳人
2020年2月2日,根岸ステークス,GⅢ,2,コパノキッキング,せん5,O.マーフィー,村山 明
2020年2月2日,根岸ステークス,GⅢ,3,スマートアヴァロン,牡8,石橋 脩,西園 正都
2020年2月2日,根岸ステークス,GⅢ,4,ダノンフェイス,牡7,田辺 裕信,大久保 龍志
2020年2月2日,根岸ステークス,GⅢ,5,ワイドファラオ,牡4,福永 祐一,角居 勝彦
2020年2月2日,根岸ステークス,GⅢ,6,テーオージーニアス,牡5,川須 栄彦,梅田 智之
2020年2月2日,根岸ステークス,GⅢ,7,ノボバカラ,牡8,内田 博幸,森 秀行
2020年2月2日,根岸ステークス,GⅢ,8,ワンダーリーデル,牡7,横山 典弘,安田 翔伍
2020年2月2日,根岸ステークス,GⅢ,9,ブルベアイリーデ,牡4,丸山 元気,杉山 晴紀
2020年2月2日,根岸ステークス,GⅢ,10,カフジテイク,牡8,津村 明秀,湯窪 幸雄
2020年2月2日,根岸ステークス,GⅢ,11,ミッキーワイルド,牡5,M.デムーロ,安田 隆行
2020年2月2日,根岸ステークス,GⅢ,12,アードラー,牡6,F.ミナリク,音無 秀孝
2020年2月2日,根岸ステークス,GⅢ,13,テーオーヘリオス,牡8,石川 裕紀人,梅田 智之
2020年2月2日,根岸ステークス,GⅢ,14,ドリームキラリ,牡8,坂井 瑠星,矢作 芳人
2020年2月2日,根岸ステークス,GⅢ,15,ヨシオ,牡7,佐藤 友則,森 秀行
2020年2月2日,根岸ステークス,GⅢ,16,サングラス,牡9,北村 宏司,谷 潔
2020年2月2日,シルクロードステークス,GⅢ,1,アウィルアウェイ,牝4,川田 将雅,高野 友和
2020年2月2日,シルクロードステークス,GⅢ,2,エイティーンガール,牝4,四位 洋文,飯田 祐史
2020年2月2日,シルクロードステークス,GⅢ,3,ナランフレグ,牡4,丸田 恭介,宗像 義忠
2020年2月2日,シルクロードステークス,GⅢ,4,モズスーパーフレア,牝5,松若 風馬,音無 秀孝
2020年2月2日,シルクロードステークス,GⅢ,5,セイウンコウセイ,牡7,幸 英明,上原 博之
2020年2月2日,シルクロードステークス,GⅢ,6,ラヴィングアンサー,牡6,和田 竜二,石坂 正
2020年2月2日,シルクロードステークス,GⅢ,7,ジョイフル,牡6,川又 賢治,吉村 圭司
2020年2月2日,シルクロードステークス,GⅢ,8,ハッピーアワー,牡4,吉田 隼人,武 幸四郎
2020年2月2日,シルクロードステークス,GⅢ,9,ペイシャフェリシタ,牝7,岩田 康誠,高木 登
2020年2月2日,シルクロードステークス,GⅢ,10,ダイメイプリンセス,牝7,松山 弘平,森田 直行
2020年2月2日,シルクロードステークス,GⅢ,11,カラクレナイ,牝6,大野 拓弥,松下 武士
2020年2月2日,シルクロードステークス,GⅢ,12,ディープダイバー,牡4,酒井 学,大久保 龍志
2020年2月2日,シルクロードステークス,GⅢ,13,ティーハーフ,牡10,国分 優作,西浦 勝一
2020年2月2日,シルクロードステークス,GⅢ,14,ディアンドル,牝4,池添 謙一,奥村 豊
2020年2月2日,シルクロードステークス,GⅢ,15,ビップライブリー,牡7,高倉 稜,清水 久詞
2020年2月2日,シルクロードステークス,GⅢ,16,ラブカンプー,牝5,斎藤 新,森田 直行
2020年2月2日,シルクロードステークス,GⅢ,17,ダイシンバルカン,牡8,松田 大作,吉田 直弘
2020年2月2日,シルクロードステークス,GⅢ,18,レッドアンシェル,牡6,S.フォーリー,庄野 靖志
2020年2月9日,東京新聞杯,GⅢ,1,プリモシーン,牝5,M.デムーロ,木村 哲也
2020年2月9日,東京新聞杯,GⅢ,2,シャドウディーヴァ,牝4,岩田 康誠,斎藤 誠
2020年2月9日,東京新聞杯,GⅢ,3,クリノガウディー,牡4,横山 典弘,藤沢 則雄
2020年2月9日,東京新聞杯,GⅢ,4,サトノアーサー,牡6,田辺 裕信,池江 泰寿
2020年2月9日,東京新聞杯,GⅢ,5,クルーガー,牡8,S.フォーリー,高野 友和
2020年2月9日,東京新聞杯,GⅢ,6,ヴァンドギャルド,牡4,福永 祐一,藤原 英昭
2020年2月9日,東京新聞杯,GⅢ,7,スウィングビート,牡5,大野 拓弥,加藤 征弘
2020年2月9日,東京新聞杯,GⅢ,8,レイエンダ,牡5,丸山 元気,藤沢 和雄
2020年2月9日,東京新聞杯,GⅢ,9,レッドヴェイロン,牡5,C.ルメール,石坂 正
2020年2月9日,東京新聞杯,GⅢ,10,ロワアブソリュー,牡7,吉田 豊,須貝 尚介
2020年2月9日,東京新聞杯,GⅢ,11,ケイアイノーテック,牡5,津村 明秀,平田 修
2020年2月9日,東京新聞杯,GⅢ,12,ケイデンスコール,牡4,石橋 脩,安田 隆行
2020年2月9日,東京新聞杯,GⅢ,13,ドーヴァー,牡7,北村 宏司,伊藤 圭三
2020年2月9日,東京新聞杯,GⅢ,14,ゴールドサーベラス,牡8,内田 博幸,清水 英克
2020年2月9日,東京新聞杯,GⅢ,15,キャンベルジュニア,牡8,F.ミナリク,堀 宣行
2020年2月9日,東京新聞杯,GⅢ,16,モルフェオルフェ,牝5,江田 照男,大江原 哲
2020年2月9日,きさらぎ賞,GⅢ,1,コルテジア,牡3,松山 弘平,鈴木 孝志
2020年2月9日,きさらぎ賞,GⅢ,2,ストーンリッジ,牡3,A.シュタルケ,藤原 英昭
2020年2月9日,きさらぎ賞,GⅢ,3,アルジャンナ,牡3,川田 将雅,池江 泰寿
2020年2月9日,きさらぎ賞,GⅢ,4,ギベルティ,牡3,武 豊,小島 茂之
2020年2月9日,きさらぎ賞,GⅢ,5,トゥルーヴィル,牡3,北村 友一,斉藤 崇史
2020年2月9日,きさらぎ賞,GⅢ,6,サトノゴールド,牡3,幸 英明,須貝 尚介
2020年2月9日,きさらぎ賞,GⅢ,7,サイモンルモンド,せん3,和田 竜二,松田 国英
2020年2月9日,きさらぎ賞,GⅢ,8,グランレイ,牡3,池添 謙一,池添 学
2020年2月15日,デイリー杯クイーンカップ,GⅢ,1,ミヤマザクラ,牝3,福永 祐一,藤原 英昭
2020年2月15日,デイリー杯クイーンカップ,GⅢ,2,マジックキャッスル,牝3,S.フォーリー,国枝 栄
2020年2月15日,デイリー杯クイーンカップ,GⅢ,3,セイウンヴィーナス,牝3,野中 悠太郎,本間 忍
2020年2月15日,デイリー杯クイーンカップ,GⅢ,4,アカノニジュウイチ,牝3,横山 典弘,尾関 知人
2020年2月15日,デイリー杯クイーンカップ,GⅢ,5,シャンドフルール,牝3,武 豊,松永 幹夫
2020年2月15日,デイリー杯クイーンカップ,GⅢ,6,ホウオウピースフル,牝3,田辺 裕信,大竹 正博
2020年2月15日,デイリー杯クイーンカップ,GⅢ,7,チアチアクラシカ,牝3,吉田 豊,堀井 雅広
2020年2月15日,デイリー杯クイーンカップ,GⅢ,8,サナチャン,牝3,武士沢 友治,武藤 善則
2020年2月15日,デイリー杯クイーンカップ,GⅢ,9,アールクインダム,牝3,北村 宏司,伊藤 大士
2020年2月15日,デイリー杯クイーンカップ,GⅢ,10,ルナシオン,牝3,C.ルメール,藤沢 和雄
2020年2月15日,デイリー杯クイーンカップ,GⅢ,11,アミークス,牝3,岩田 康誠,栗田 徹
2020年2月15日,デイリー杯クイーンカップ,GⅢ,12,ヤマニンプレシオサ,牝3,江田 照男,星野 忍
2020年2月15日,デイリー杯クイーンカップ,GⅢ,13,メルテッドハニー,牝3,柴田 善臣,大江原 哲
2020年2月15日,デイリー杯クイーンカップ,GⅢ,14,インザムービー,牝3,石橋 脩,牧田 和弥
2020年2月16日,共同通信杯,GⅢ,1,ダーリントンホール,牡3,C.ルメール,木村 哲也
2020年2月16日,共同通信杯,GⅢ,2,ビターエンダー,牡3,F.ミナリク,相沢 郁
2020年2月16日,共同通信杯,GⅢ,3,フィリオアレグロ,牡3,M.デムーロ,堀 宣行
2020年2月16日,共同通信杯,GⅢ,4,マイラプソディ,牡3,武 豊,友道 康夫
2020年2月16日,共同通信杯,GⅢ,5,ココロノトウダイ,牡3,丸山 元気,手塚 貴久
2020年2月16日,共同通信杯,GⅢ,6,シングンバズーカ,牡3,柴田 善臣,高市 圭二
2020年2月16日,共同通信杯,GⅢ,7,エン,牡3,柴田 大知,河津 裕昭
2020年2月16日,共同通信杯,GⅢ,8,シコウ,牡3,木幡 巧也,牧 光二
2020年2月16日,共同通信杯,GⅢ,9,アジュバント,牡3,幸 英明,上原 博之
2020年2月16日,農林水産省賞典 京都記念,GⅡ,1,クロノジェネシス,牝4,北村 友一,斉藤 崇史
2020年2月16日,農林水産省賞典 京都記念,GⅡ,2,カレンブーケドール,牝4,津村 明秀,国枝 栄
2020年2月16日,農林水産省賞典 京都記念,GⅡ,3,ステイフーリッシュ,牡5,岩田 康誠,矢作 芳人
2020年2月16日,農林水産省賞典 京都記念,GⅡ,4,ノーブルマーズ,牡7,A.シュタルケ,宮本 博
2020年2月16日,農林水産省賞典 京都記念,GⅡ,5,アルメリアブルーム,牝6,S.フォーリー,高橋 康之
2020年2月16日,農林水産省賞典 京都記念,GⅡ,6,アメリカズカップ,牡6,和田 竜二,音無 秀孝
2020年2月16日,農林水産省賞典 京都記念,GⅡ,7,プリンスオブペスカ,牡6,藤井 勘一郎,松永 昌博
2020年2月16日,農林水産省賞典 京都記念,GⅡ,8,ドレッドノータス,せん7,坂井 瑠星,矢作 芳人
2020年2月16日,農林水産省賞典 京都記念,GⅡ,9,ガンコ,牡7,松田 大作,武 英智
2020年2月16日,農林水産省賞典 京都記念,GⅡ,取消,クラージュゲリエ,牡4,川田 将雅,池江 泰寿
2020年2月22日,ダイヤモンドステークス,GⅢ,1,ミライヘノツバサ,牡7,木幡 巧也,伊藤 大士
2020年2月22日,ダイヤモンドステークス,GⅢ,2,メイショウテンゲン,牡4,池添 謙一,池添 兼雄
2020年2月22日,ダイヤモンドステークス,GⅢ,3,オセアグレイト,牡4,野中 悠太郎,菊川 正達
2020年2月22日,ダイヤモンドステークス,GⅢ,4,レノヴァール,牡5,横山 典弘,高野 友和
2020年2月22日,ダイヤモンドステークス,GⅢ,5,タイセイトレイル,牡5,中谷 雄太,矢作 芳人
2020年2月22日,ダイヤモンドステークス,GⅢ,6,ステイブラビッシモ,牡7,江田 照男,久保田 貴士
2020年2月22日,ダイヤモンドステークス,GⅢ,7,タガノディアマンテ,牡4,川田 将雅,鮫島 一歩
2020年2月22日,ダイヤモンドステークス,GⅢ,8,サトノティターン,牡7,石橋 脩,堀 宣行
2020年2月22日,ダイヤモンドステークス,GⅢ,9,ヴァントシルム,牡6,M.デムーロ,須貝 尚介
2020年2月22日,ダイヤモンドステークス,GⅢ,10,ウインテンダネス,牡7,内田 博幸,杉山 晴紀
2020年2月22日,ダイヤモンドステークス,GⅢ,11,ポポカテペトル,牡6,北村 宏司,友道 康夫
2020年2月22日,ダイヤモンドステークス,GⅢ,12,ロサグラウカ,牝5,丸山 元気,尾関 知人
2020年2月22日,ダイヤモンドステークス,GⅢ,13,リッジマン,牡7,S.フォーリー,庄野 靖志
2020年2月22日,ダイヤモンドステークス,GⅢ,14,アドマイヤジャスタ,牡4,田辺 裕信,須貝 尚介
2020年2月22日,ダイヤモンドステークス,GⅢ,15,ダノンキングダム,牡6,津村 明秀,安田 隆行
2020年2月22日,ダイヤモンドステークス,GⅢ,16,バレリオ,牡5,F.ミナリク,相沢 郁
2020年2月22日,京都牝馬ステークス,GⅢ,1,サウンドキアラ,牝5,松山 弘平,安達 昭夫
2020年2月22日,京都牝馬ステークス,GⅢ,2,プールヴィル,牝4,岩田 康誠,庄野 靖志
2020年2月22日,京都牝馬ステークス,GⅢ,3,メイショウグロッケ,牝6,大野 拓弥,荒川 義之
2020年2月22日,京都牝馬ステークス,GⅢ,4,アマルフィコースト,牝5,幸 英明,牧田 和弥
2020年2月22日,京都牝馬ステークス,GⅢ,5,ビーチサンバ,牝4,福永 祐一,友道 康夫
2020年2月22日,京都牝馬ステークス,GⅢ,6,ディメンシオン,牝6,松田 大作,藤原 英昭
2020年2月22日,京都牝馬ステークス,GⅢ,7,シゲルピンクダイヤ,牝4,和田 竜二,渡辺 薫彦
2020年2月22日,京都牝馬ステークス,GⅢ,8,リバティハイツ,牝5,松若 風馬,高野 友和
2020年2月22日,京都牝馬ステークス,GⅢ,9,プリディカメント,牝5,川島 信二,吉村 圭司
2020年2月22日,京都牝馬ステークス,GⅢ,10,ディアンドル,牝4,藤岡 佑介,奥村 豊
2020年2月22日,京都牝馬ステークス,GⅢ,11,メイショウショウブ,牝4,四位 洋文,池添 兼雄
2020年2月22日,京都牝馬ステークス,GⅢ,12,リナーテ,牝6,武 豊,須貝 尚介
2020年2月22日,京都牝馬ステークス,GⅢ,13,ドナウデルタ,牝4,北村 友一,石坂 正
2020年2月22日,京都牝馬ステークス,GⅢ,14,メイショウケイメイ,牝4,酒井 学,南井 克巳
2020年2月22日,京都牝馬ステークス,GⅢ,15,ノーワン,牝4,坂井 瑠星,笹田 和秀
2020年2月22日,京都牝馬ステークス,GⅢ,16,モアナ,牝6,A.シュタルケ,高橋 文雅
